row_id,variant,video_id,HUMAN_ground_truth_explanation,AI_explanation,human_C (1-5),human_S (1-5),human_Co (1-5),human_F (1-5),GPT_C_HIDE_until_done,GPT_S_HIDE,GPT_Co_HIDE,GPT_F_HIDE
11,rag,08_0080,A person in a black shirt with a backpack is skateboarding in a pedestrian area where skateboarding is not allowed.,"A person wearing a dark shirt and carrying a backpack is skateboarding along a pedestrian walkway, an activity that is inappropriate for this area designated for walking. The individual moves through the space while other pedestrians walk normally nearby, making the skateboarding behavior stand out as disruptive and anomalous. The anomaly peaks in the middle frames and begins to resolve as the skater moves out of view.",,,,,5,5,5,5
12,rag,03_0032,A person in a white shirt pushes a person in a light mint-green shirt to the ground; the pushed person stands up and starts walking.,"A man in a light green shirt and grey shorts suddenly falls to the ground in the middle of the road, then quickly gets up and playfully pushes another man in a red shirt, who stumbles back. This interaction occurs while other pedestrians walk normally across the crosswalk. The behavior is anomalous because it involves unexpected physical contact and playful aggression in a public roadway, disrupting normal pedestrian flow.",,,,,2,3,2,4
13,lora_v3,04_0046,"A person in a black shirt repeatedly throws a bag into the air in a pedestrian area, which is abnormal behavior.","A group of four individuals enters the scene from the right and walks across a paved plaza. One person in a dark shirt and shorts performs an unusual, exaggerated motion—appearing to throw or swing an object—while the others walk normally. This erratic behavior, particularly the sudden, non-pedestrian motion, is flagged as anomalous and peaks around snippets 19-23 before the group exits the frame. The anomaly is detected because such dynamic, uncoordinated movement deviates from typical walking patterns in a public space.",,,,,4,4,3,5
14,rag,02_0161,"Two people, one in a white shirt and one in a blue shirt, are riding a bicycle in a pedestrian area where cycling is not allowed.","A person wearing a dark blue shirt and carrying a backpack is riding a bicycle with a front basket across a pedestrian pathway in front of a store. This occurs in a zone designated for walking, where cycling is not permitted, making the activity anomalous. The rider moves from the right side of the frame toward the left, passing near pedestrians who are walking normally, highlighting the inappropriate use of the bicycle in this restricted area.",,,,,3,4,3,5
15,rag,01_0135,A white minivan with black tinted windows is being driven through a pedestrian area where vehicles are not allowed.,"A silver minivan drives through a pedestrian-only area, entering from the left and moving across the paved walkway. The vehicle passes a person walking in the area, creating a hazardous situation as motor vehicles are not permitted in this zone. The anomaly peaks as the van traverses the center of the pathway, then exits to the right, with the anomaly score dropping as it leaves the scene.",,,,,4,5,4,5
16,zero-shot,12_0174,A girl in a white shirt is riding a bicycle in a pedestrian area where cycling is not allowed.,"A man in a white shirt and dark shorts walks across a paved plaza, initially alone, then a woman on a small bicycle enters from the left and rides past him. The anomaly peaks when the cyclist passes close to the man, who continues walking without interaction, suggesting an unusual or unexpected proximity between a pedestrian and cyclist in a public space. The anomaly begins around snippet 0 and resolves by snippet 18, with the highest scores occurring when both individuals are in the frame together, indicating the system flagged the co-occurrence and close passage as atypical for normal pedestrian behavior.",,,,,3,4,3,4
17,zero-shot,10_0042,"Two people, one in a white shirt and another in a white shirt with pink stripes, are riding a scooter in a pedestrian area where motor vehicles are not allowed.","A man in a black t-shirt and dark shorts is seen walking across a paved plaza, moving from the right side toward the center. His motion appears erratic and uncoordinated, with sudden shifts in direction and pace, which deviates from normal pedestrian behavior. The anomaly occurs between snippets 7 and 16, peaking around snippet 7, and is flagged due to this unusual gait and movement pattern in an otherwise calm public space.",,,,,1,3,1,4
18,zero-shot,08_0158,"At the beginning, a person is cycling in a pedestrian area where cycling is not allowed; later, a person in a white shirt with a backpack is running in the same area.","An anomalous event occurs when a man in a white shirt and dark pants, carrying a black bag, walks erratically across a pedestrian plaza, deviating from the normal flow of foot traffic. He appears to be moving with unusual urgency or disorientation, particularly noticeable in snippets 4-5 and 12, where he is seen walking alone and at an angle relative to other pedestrians who are moving in consistent, purposeful directions. This behavior is anomalous because it disrupts the typical pattern of orderly, goal-directed pedestrian movement in a public space.",,,,,2,3,2,4
19,lora_v3,04_0012,"A person in a white shirt is moving in circles, which is abnormal behavior in a pedestrian area.","A man in a white shirt and light-colored pants is seen walking erratically and alone across a public plaza, deviating from normal pedestrian behavior by moving in an uncoordinated, zigzagging pattern. This unusual movement begins around snippet 3 and peaks in snippets 7–16, where he is the sole focus of the anomaly, while other pedestrians walk normally in the background. The anomaly resolves by snippet 18 as he continues walking but with less erratic motion, suggesting a transient abnormal behavior that stands out from the otherwise calm, orderly environment.",,,,,5,5,5,5
20,lora_v1,01_0141,A girl in a white shirt with a blue bag is skateboarding in a pedestrian area.,"A girl is riding a skateboard while holding a phone, which is unusual behavior in a pedestrian area where skateboarding is typically not allowed or expected. She is moving in the same direction as two boys walking, but her mode of transportation and distraction from the phone make her behavior anomalous compared to normal pedestrian activity. The anomaly occurs in snippets 10-12, with the highest score at snippet 12, indicating the peak of the unusual activity.",,,,,3,3,4,4
